ID,Item_name,Count
1004,Mix Vegetable,6
1005,Egg Shanghai Fried Rice,6
1006,Kashmiri Dum Aloo,6
1007,Baigan Bharta,6
1008,Kerala Parotta,6
1009,Veg Chilly,6
1010,Chicken Combo,6
1011,Mushroom Tikka Masala,6
1012,Gobi Noodles,6
1013,Mutton Roll,6
1014,Chilli Babycorn,6
1015,Corn Palak,6
1016,Butter Chapati,6
1017,Chicken Ginger,6
1018,Mushroom Schezwan,6
1019,Mushroom Tomato Fried Rice,6
1020,Chicken Coriander Soup,6
1021,French Onion Soup,6
1022,Spicy Mutton Curry,6
1023,Corn Sandwich,6
1024,Banana Milk Shake,6
1025,Special Lassi,6
1026,Red Velvet Cake,6
1027,Sunny Side Up,6
1028,Gulab Jamun with Ice Cream,6
1029,Peach Ice Tea,6
1030,Chicken do Pyaza,6
1031,Prawns Do Pyaza,6
1032,Veg Butter Garlic Noodles,6
1033,Salt and Pepper Mushroom,6
1034,Paneer Tikka Dry,6
1035,Peach Iced Tea,6
1036,Cheese Grilled Sandwich,6
1037,Prawns Ghee Roast,6
1038,Classic Veg Burger,6
1039,Veg Curry,6
1040,Paneer Tikka Biryani,6
1041,Lamb Burger,6
1042,Chicken Butter Garlic Noodles,6
1043,Thai Fried Chicken,6
1044,Veg Nuggets,6
1045,Veg Cutlet,6
1046,Mutton Punjabi,6
1047,Cheese Fries,6
1048,Egg Combo,6
1049,Veg Alfredo Pasta,6
1050,Mutton Rara,6
1051,Chicken Kabab Biryani,6
1052,Chicken Chilly Garlic Rice,6
1053,Grill Chicken,6
1054,Crispy Honey Chicken,6
1055,Black Tea,6
1056,Classic Chicken Burger,6
1057,Chicken Hariyali Tikka,6
1058,Cheese Plain Dosa,6
1059,Paneer Ghee Roast,6
1060,Peas Palak,6
1061,Chilli Paneer Roll,6
1062,Chilly Fish,6
1063,Red Sauce Pasta,6
1064,Brownie,6
1065,Apple Milk Shake,6
1066,Bulls Eye,6
1067,Grilled Chicken Burger,6
1068,Chocolate Coffee,6
1069,Chicken Keema Naan,6
1070,Cheese Maggi,6
1071,Bhuna Gosht,6
1072,Veg Manchurian Gravy,6
1073,Gongura Mutton Biryani,6
1074,Mutton Seekh Kabab,6
1075,Mushroom Schezwan Noodles,6
1076,Baby Corn Golden Fry,6
1077,Chicken Kassa,6
1078,Chicken Burnt Garlic Fried Rice,6
1079,Chicken Burnt Garlic Noodles,6
1080,Punjabi Paneer,6
1081,Schezwan Prawns,6
1082,Chicken Curry Combo,6
1083,Veg Burnt Garlic Noodles,6
1084,Veg Fried Rice Combo,6
1085,Veg Malaysian Noodles,6
1086,Chicken Chatpata,6
1087,Boost,6
1088,Garlic Prawns,6
1089,Aloo Gobhi Masala,6
1090,Hunan Chicken Dry,6
1091,Scrambled Egg,6
1092,2 Onion Paratha,6
1093,Mushroom Hyderabadi,6
1094,Hazelnut Cold Coffee,6
1095,Chicken Arrabiata Pasta,6
1096,Chicken Salami Pizza,6
1097,Chicken Thai Fried Rice,6
1098,Coca Cola,6
1099,Lemon Paneer,6
1100,Hunan Chicken Gravy,6
1101,Triple Fried Rice,6
1102,Methi Chaman,6
1103,Ulavacharu Chicken Biryani,6
1104,Hyderabadi Mutton Biryani,6
1105,Seafood Fried Rice,6
1106,Ice Cream,6
1107,Peri Peri Chicken Burger,6
1108,Mix Veg Dry,6
1109,Boneless Special Chicken Biryani,6
1110,Papdi Chaat,6
1111,Butter Tawa Roti,6
1112,Cafe Latte,6
1113,Nachos,6
1114,Chana Paneer,6
1115,Hyderabadi Biryani,6
1116,Chicken Schezwan Rice,6
1117,Boneless Chicken Hyderabadi,6
1118,Shahi Tukda,6
1119,Chole Chawal,6
1120,Cheesy Fries,6
1121,Bread Pakoda,6
1122,Garlic Bread with Cheese,6
1123,American Chicken Chopsuey,6
1124,Chole Bhatura,6
1125,2 Gobi Paratha,6
1126,Fish Meal,6
1127,Gobhi Chilly,6
1128,Mix Noodles,6
1129,Chicken Shahi Korma,6
1130,Shawarma Roll,6
1131,Plain Phulka,6
1132,Cocktail Juice,6
1133,Americano,6
1134,Hara Bara Kabab,6
1135,Gobhi Chilli,6
1136,Mint Lime Soda,6
1137,Dal Butter Fry,6
1138,Chicken Methi Malai,6
1139,Chicken Shawarma,6
1140,Fish Combo,6
1141,Amritsari Kulcha,6
1142,Paneer Stuffed Kulcha,6
1143,Chinese Fried Chicken,6
1144,Lung Fung Soup,6
1145,Methi Paneer,6
1146,Veg Tom Kha Soup,6
1147,Pineapple Lassi,6
1148,Fry Papad,6
1149,Chocolate Milk Shake,6
1150,Pindi Chole,6
1151,Caesar Salad,6
1152,Capsicum Pakoda,6
1153,Ceylon Paratha,6
1154,Veg Seekh Kebab,6
1155,Phulka Roti,6
1156,Chicken Mushroom Soup,6
1157,Chicken Patiyala,6
1158,Tandoori Fish Tikka,6
1159,Paneer Burji,6
1160,Chicken Alfredo Pasta,6
1161,Mango Falooda,6
1162,Jeera Pulao,6
1163,Masala French Fries,6
1164,Paneer Achari Tikka,6
1165,Masala Lime Soda,6
1166,Virgin Mojito,6
1167,Gajar ka Halwa,6
1168,Masala Lassi,6
1169,Mushroom Chilly Gravy,6
1170,Chicken Tom Kha Soup,6
1171,Chicken Tikka Butter Masala,6
1172,Carrot Halwa,6
1173,Chicken Rara,6
1174,Veg Thai Fried Rice,6
1175,Paneer Mutter Masala,6
1176,Mini Meal,6
1177,Aloo Fry,6
1178,Nargis Kofta,6
1179,Chicken Red Sauce Pasta,6
1180,Mushroom Omelette,6
1181,Garlic Fish,6
1182,Vegetable Soup,6
1183,Ghee Roti,6
1184,Mushroom Mutter,6
1185,Masala Chaas,6
