ID,Resturant_Name,Location,Latitude,Longitude,Rating,No_of_votes,True_rating
11295,Napoli Italian Bistro,HSR,12.91616251,77.65175644,4.1,991,0.261625306
8004,Snack Shack,BTM,12.9174334,77.61249863,3.7,18,0.0055325
9189,Planet Momos,Bellandur,12.928725,77.669645,0,0,0
9192,Barbeque Station,Koramangala 7th Block,12.93684177,77.61251707,2.9,136,0.036407343
9193,Cilantro,Koramangala 4th Block,12.93559091,77.63106488,4,259,0.069006757
9206,Wang's Xanadu Momo,HSR,12.9145745,77.5816841,3.5,6,0.002332117
9208,Pavilion,Yeshwantpur,13.02935684,77.56104816,3.7,28,0.008163607
10678,Andhra Kafe,Whitefield,12.98896267,77.72649553,3.7,193,0.05157687
10679,Desi Dhaba,BTM,12.9160576,77.6059397,3.3,7,0.002552174
9756,New Andhra House,Electronic City,12.8507682,77.6571023,3.7,475,0.125774084
10453,Atithi,HSR,12.91335175,77.63523269,3.9,213,0.056882138
10900,Hotel Karavali,Jeevan Bhima Nagar,12.96801002,77.65219029,3.7,240,0.063943072
10567,Punjabi Zaika,Kaggadasapura,12.98161481,77.67521236,2.9,59,0.01614782
10934,Inorbit Mall,Whitefield,12.9794981,77.7287335,0,0,0
9571,Totaram's Paranthas,New BEL Road,13.03158586,77.56376792,3.6,126,0.033926927
9808,Waffle-A-Go Go,Banashankari,12.92388255,77.56826699,3.9,64,0.017678646
9312,Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,12.94711344,77.56892044,3.2,9,0.003056868
10831,Esfahan Restaurant,Electronic City,12.84032524,77.64737271,3.7,131,0.035264008
10025,Sila Restaurant,Electronic City,12.85209307,77.65711784,3.8,499,0.132110267
9172,Dakshin Flavors,Bommanahalli,12.89178093,77.64955435,3.7,167,0.044735992
8166,1000 B.C,Marathahalli,12.934472,77.693833,3.4,21,0.00625725
7875,Chocalot,Koramangala 5th Block,12.93359925,77.61547789,0,2,0.000526221
11213,Lassi Corner,Marathahalli,12.95914876,77.7084912,3.5,42,0.011804102
8852,The Grill House,Kalyan Nagar,13.02161003,77.6404107,4,165,0.044274353
10250,Gundappa Donne Biriyani,Yeshwantpur,13.02732543,77.55819663,3.3,90,0.024390361
10360,Kanika Biryani Paradise,Bannerghatta Road,12.85756689,77.58898169,3.3,14,0.004393948
8653,Desserts Tree,Koramangala 1st Block,12.92150062,77.63767786,3.7,65,0.017898702
7936,Manasa Andhra Style Multi Cuisine Restaurant,Electronic City,12.8402977,77.6637929,3.6,58,0.0160354
7830,Dhaba Estd 1986 Delhi,Marathahalli,12.94959316,77.69906759,4.4,695,0.183809125
9335,GRAZERS,Jayanagar,12.93275618,77.58350059,3.9,240,0.063986127
8914,Genuine Broaster Chicken,HSR,12.91033213,77.65193548,3.9,99,0.02688752
10791,Game Of Tandoors,Marathahalli,12.950373,77.715574,3.5,211,0.056269808
8974,Lashiwalla,Marathahalli,12.95241822,77.70604871,2.9,11,0.003518507
8229,PSV's Andhra Paradise,HSR,12.91942127,77.64519576,3.6,99,0.026822938
8065,Domino's Pizza,BTM,12.91605793,77.61947338,3.2,476,0.125929558
11395,NAWABI,Kalyan Nagar,13.0195338,77.65339695,3.3,9,0.003078395
11402,The Shawarma Inc,Koramangala 5th Block,12.93469393,77.61617158,3.2,90,0.024368833
10047,Tongue Twisters,BTM,12.9108403,77.60974467,3.6,222,0.059185553
8276,Bellandur Kitchen,Bellandur,12.9289934,77.6722619,3.5,13,0.004173892
11460,Zilla Kitchen,Richmond Road,12.96630059,77.59444702,3.4,222,0.059142498
9320,eat.fit,HSR,12.91227005,77.62717232,4.4,926,0.244587694
8332,South Ruchis,Vijay Nagar,12.97827911,77.54250973,3.7,279,0.074204389
9508,Koramangala Social,Koramangala 7th Block,12.93539844,77.61415757,4.5,3797,1
7841,Gobble Up Churros Cafe,Indiranagar,12.96941625,77.64774453,4.3,317,0.084331759
11235,Eater's Cart,Rajajinagar,12.9847685,77.5580134,3.5,15,0.004700114
10673,Paratha Singh,Kalyan Nagar,13.02204774,77.63943806,3.9,221,0.058987024
11356,Biriyani Zone,Marathahalli,12.95236005,77.70023301,3.8,1665,0.438897327
8302,Orzuv,Whitefield,12.96275068,77.74819694,3.9,719,0.190016145
7901,Namma Banashankari Donne Biryani,JP Nagar,12.9093563,77.57353116,3.6,48,0.013404293
9544,Tiwari's,Banashankari,12.92405215,77.56414879,3.9,132,0.035570173
11137,Nellore Bhojanam,Bannerghatta Road,12.89370494,77.598987,3,129,0.034587096
9325,Wangs Kitchen,Marathahalli,12.96160286,77.7016519,3.1,371,0.098281409
10048,Sri Krishna Kitchen,BTM,12.93394464,77.61054028,3.6,34,0.009720744
10674,Delite Chaat House,HSR,12.90878766,77.65212424,3.5,160,0.042851163
8014,Rajasthani Sweets & Snacks,Kanakapura Road,12.88102979,77.54580282,3.5,18,0.005489446
9749,Absolute Waffles,New BEL Road,13.02876202,77.56941196,3.8,43,0.012131795
10731,SGS Non Veg - Gundu Pulav,Nagarbhavi,12.95884195,77.51909975,3.1,18,0.005403337
10490,Hongkong Garden,Kaggadasapura,12.97475583,77.67872002,3.7,249,0.066311069
11227,A Today Thick Shakes,Koramangala 5th Block,12.9335231,77.6168958,3.2,8,0.002793757
9818,Sri Krishna Delight,BTM,12.9123994,77.6095613,0,0,0
7908,Biryani Pot,BTM,12.92189831,77.61649847,3.6,888,0.23441727
10821,Delhi Highway,Indiranagar,12.97007557,77.6394783,4.5,2174,0.572971357
8134,Udupi Bhavan,HSR,12.89878795,77.65849449,3.5,86,0.023380972
11107,Kolkata Kitchen,Electronic City,12.83901963,77.65793659,3.2,179,0.047785684
10743,Bozo's Yum Yums,Frazer Town,12.99758734,77.61757504,4.1,82,0.022457693
10077,KFC,Electronic City,12.83949199,77.65941046,3.8,603,0.159473779
9569,D-Zaprino,Yelahanka,13.09495008,77.58312576,3.9,308,0.081877654
9113,Hyderabad Biryaani Palace,Sahakara Nagar,13.060618,77.589557,3,63,0.01722179
11261,Hitorq,BTM,12.9055898,77.6020702,0,0,0
9527,New Rajadhani Spicy,Kumaraswamy Layout,12.91498148,77.56337631,3.5,50,0.013908988
10137,Ember Grill,Yelahanka,13.11416757,77.57905986,3.8,63,0.017394008
9721,Chaiwala,Koramangala 1st Block,12.92610564,77.63752431,3.4,32,0.009151468
9817,Countryside - The Taste of Chettinad,Kalyan Nagar,13.02163812,77.64082879,3.8,239,0.063701489
9530,Mother's Rasoi,Bannerghatta Road,12.88349937,77.60662694,3.8,155,0.041600191
10728,7 Star Biryani,Koramangala 6th Block,12.93700482,77.62465339,3.3,13,0.004130838
11457,The Local,Kalyan Nagar,13.02130526,77.64156137,4.2,1100,0.290325898
11344,Brownie Heaven,Indiranagar,12.96290587,77.64213234,4.2,90,0.024584106
8456,Rasoiya,Sarjapur Road,12.914922,77.66466625,3.6,37,0.010510076
9679,Tandoori Bytes,Kumaraswamy Layout,12.91035566,77.56691817,3.2,46,0.012791963
9509,Kargeens,New BEL Road,13.03202845,77.57010665,3.9,346,0.09187586
10203,Krish Punjabi Kitchen,Thippasandra,12.97437389,77.64834099,3.6,16,0.004984752
9810,Mango Tree,JP Nagar,12.88976114,77.58474849,4.1,1264,0.333454524
10421,Nanna Munna Paratha House,BTM,12.90815857,77.60631412,3.7,84,0.022897805
10735,MealsTree,Marathahalli,12.95688315,77.71509513,3.6,145,0.03892603
8492,Curry Leaves,Basavanagudi,12.93636698,77.57544022,3.2,143,0.0383137
10348,Sri Sadguru,Bannerghatta Road,12.88919442,77.60231528,3.2,12,0.0038462
8427,Fairmount Restaurant,KR Puram,13.0253564,77.69333806,3.2,256,0.068045207
10198,Szechuan Dragon,HSR,12.917816,77.644885,3.7,111,0.030001794
10488,Sids Cafe,Koramangala 5th Block,12.93395,77.620241,0,0,0
10976,Delhi Mess,New BEL Road,13.03548919,77.56444786,3.8,307,0.081593016
10711,Chickpet Donne Biryani House,Commercial Street,12.98183763,77.60768808,3.6,30,0.008668301
9117,Ganesh Bhavan,Brookefield,12.96337179,77.70913158,3.7,27,0.007900496
8509,Sri Udupi Park,Whitefield,12.99441781,77.69922718,3.8,129,0.034759314
9185,Cafe Mist,JP Nagar,12.91676936,77.59315621,3.8,175,0.046862405
7960,Patefull,Nagarbhavi,12.9646297,77.50476971,3.8,123,0.033180649
9084,The Runaway Chef,Nagawara,13.05807375,77.6228258,4,219,0.05848233
11077,Swadesh Tadka,Banashankari,12.92589029,77.56432112,3.5,165,0.044166716
10039,Gopalan Signature Mall,CV Raman Nagar,12.9929643,77.6616478,0,0,0
10746,Cafe Fattoush,BTM,12.91642296,77.61061773,3.8,24,0.007132692
8177,AutoExpress,Banaswadi,13.01826147,77.65433371,0,1,0.000263111
8383,Deccan Kitchen,Marathahalli,12.950538,77.691343,3.7,29,0.008426718
9044,Food & Friends,Rajajinagar,13.000313,77.550553,3.5,50,0.013908988
10660,The Bahubali,Marathahalli,12.96592322,77.70221081,3.7,117,0.031580458
9277,F3 Food Fun Fiesta,Bannerghatta Road,12.86546066,77.59976551,3.4,25,0.007309693
8061,Gokul Veg,Vijay Nagar,12.97262922,77.53887903,3.7,190,0.050787538
8157,Chinese Chaska,Whitefield,12.98449635,77.73337372,3.2,100,0.02699994
8291,Eatwell  Restaurant,Marathahalli,12.95072044,77.70459831,3.1,54,0.014875321
8337,Eat Repeat Express,Electronic City,12.8497022,77.6797028,3.1,115,0.030925073
9429,Checkpost,JP Nagar,12.91039356,77.59937692,3.8,722,0.19078395
8473,Mirch Masala,JP Nagar,12.90073969,77.58750748,3.2,4,0.001741314
7910,Kabab Magic,Basavanagudi,12.94018424,77.58010123,4,1467,0.386844466
8409,Amulya Veg Restaurant,Majestic,12.97670893,77.57579494,3.4,30,0.008625247
8429,Chefie,HSR,12.9069,77.638597,3.7,30,0.008689828
8437,Andhra Ruchulu,Brookefield,12.96607221,77.71785043,3.5,77,0.021012976
9184,South Street,Hebbal,13.05256122,77.60451939,0,0,0
8735,New Agarwal Bhavan,Yeshwantpur,13.03038577,77.5601808,3.9,186,0.04977815
11363,Raaga,Indiranagar,12.97831309,77.63648059,3.7,286,0.076046164
7812,Imperio Restaurant,Whitefield,13.00842296,77.75881045,4.2,1201,0.316900078
9178,OrganicFeast,Electronic City,12.85027792,77.65642248,2.8,39,0.010864079
8784,Poojary Bakery And Sweets,HSR,12.919863,77.648218,0,0,0
9251,Naachiyar's,Ulsoor,12.97720847,77.61921722,3.8,81,0.022130001
9994,The Coastal Crew by Fujian on 24th,JP Nagar,12.90363556,77.58587603,4.2,933,0.246386414
9441,Wow Vada Pav,Bannerghatta Road,12.86234567,77.61472117,3.3,39,0.010971716
10192,Ja Bowl,Kammanahalli,13.01882005,77.63639543,3.3,6,0.002289063
10263,Cafe Madhura,HSR,12.90485489,77.64395189,3.7,33,0.00947916
8957,Punjabi Authentic Food,RT Nagar,13.03491431,77.60931619,2.8,119,0.031912934
9289,Yumme,Bannerghatta Road,12.88829826,77.5920213,3.2,12,0.0038462
9094,Cake Point,Whitefield,12.96293332,77.75052376,0,1,0.000263111
9144,Cocoa 'n' Crème,JP Nagar,12.90138809,77.59139601,3.5,9,0.00312145
10167,Big Mishra Pedha,Jayanagar,12.93048903,77.58392975,3.5,14,0.004437003
10159,Bangalore Bytes,Brigade Road,12.96992332,77.60710504,3.5,116,0.031274293
9486,Village Palace,Electronic City,12.85426777,77.6661475,3,45,0.012485798
9540,Parivaar,Koramangala 7th Block,12.924499,77.613559,3,19,0.00564492
10202,Indian Kitchen - Hotel Presidency,Electronic City,12.8528021,77.6750606,3.2,7,0.002530646
